Candidate,HasQualified,FundraisingHit,FirstPoll,SecondPoll,ThirdPoll,FourthPoll,DateQualified,DeclinedInvite
Burgum,Y,Y,Iowa,New Hampshire,National,,Sept. 23,N
Binkley,N,Y,,,,,,
Christie,Y,Y,National,National,,,Aug. 15,N
DeSantis,Y,Y,National,National,,,Aug. 15,N
Elder,N,N,,,,,,
Haley,Y,Y,National,National,,,Aug. 15,N
Hurd,N,N,New Hampshire,,,,,
Hutchinson,N,N,National,,,,,
Johnson,N,Y,,,,,,
Pence,Y,Y,National,National,,,Aug. 18,N
Ramaswamy,Y,Y,National,National,,,Aug. 15,N
Scott,Y,Y,National,National,,,Aug. 15,N
Suarez,N,N,,,,,,
Trump,Y,Y,National,National,,,Aug. 15,Y
