Field,Link,National/state,Dates,Binkley,Burgum,Christie,DeSantis,Elder,Haley,Hurd,Hutchinson,Johnson,Pence,Ramaswamy,Scott,Trump
Signed loyalty pledge?,,,,,,TBD,TBD,,TBD,,,TBD,,,,TBD
Met fundraising targets?,,,,N,N,Y,Y,N,Y,N,N,N,N,Y,N,Y
Hit polling threshold?,,,,N,N,N,N,N,Y,N,N,N,N,N,N,Y
Qualifies for debate?,,,,N,N,N,N,N,Y,N,N,N,N,N,N,Y
Declined to participate?,,,,,N,N,N,N,N,N,N,N,N,N,N,N
Polling average,,,,,,,,,,,,,,,,
Dropped out?,,,,,Y,,,,,Y,,,,,Y,
Marquette University Law School,https://law.marquette.edu/poll/wp-content/uploads/2023/11/MLSPSC17ToplinesRV.html,National,Nov. 2-7,,,0.01,0.12,,0.12,,,,,0.04,,0.54
Quinnipiac University,https://poll.qu.edu/poll-release?releaseid=3883,National,Nov. 9-13,,,0.02,0.16,,0.09,,,,,0.04,,0.64
Fox News,https://www.foxnews.com/official-polls/fox-news-poll-support-trump-hits-62-gop-primary,National,Noc. 10-13,,,0.03,0.14,,0.11,,,,,0.07,,0.62
NBC News,https://www.nbcnews.com/politics/2024-election/poll-bidens-standing-hits-new-lows-israel-hamas-war-rcna125251,National,Nov. 10-14,,,0.03,0.18,,0.13,,0.01,,,0.03,,0.58
Washington Post/Monmouth University,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_NH_111723/,New Hampshire,Nov. 9-14,,,0.11,0.07,,0.18,,0.01,,,0.08,,0.46
CNN/University of New Hampshire,https://scholars.unh.edu/cgi/viewcontent.cgi?article=1768&context=survey_center_polls,New Hampshire,Nov. 10-14,,,0.14,0.09,,0.2,,0,,,0.08,,0.42
Monmouth University,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_us_120623/,National,Nov. 30-Dec. 4,,,0.02,0.18,,0.12,,,,,0.04,,0.58
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Key,,,,,,,,,,,,,,,,
Unconfirmed qualifying poll,,,,,,,,,,,,,,,,
Candidate dropped out,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Spreadsheet by: Steven Shepard and Zach Montellaro, POLITICO",,,,,,,,,,,,,,,,
